patent_id,ipc_class
BR8901034,C10
BR8901034,C10
BR8901034,C10
BR8901034,C10
WO2018192952,C12
WO2018192952,C12
BR7902520,C12
BR7902520,C12
BRPI0702186,A01
BRPI0702186,A01
BRPI0702186,A01
BRPI0702186,A01
BRPI0702186,A01
BRPI0702186,A01
BRPI0702186,A01
BRPI0702186,A01
BRPI0702186,C07
BRPI0702186,C07
WO2014170330,C12
WO2021183357,C12
WO2021183357,C12
WO2013166225,C12
WO2013166225,C12
WO2013166225,C13
BRPI0906455,C12
BRPI0906455,C12
BRPI0906455,C12
BRPI0906455,C12
BRPI0906455,C12
BRPI0906455,C12
BRPI0906455,C12
BR9708390,C12
BR9708390,C12
BR9708390,A61
BR9708390,A61
